,Tweet ID,Conversation ID,Username,Date,Text,URL,Origin,Likes,Replies,Retweets,Quotes,Negative Sentiment Score,Neutral Sentiment Score,Positive Sentiment Score,Compound Sentiment Score
0,1603909544216002560,1603901074208956421,PerryBartol,2022-12-17 01:26:49,@AlecMacGillis @ajlamesa That’s how I felt in 2021 in the northeast.,https://twitter.com/PerryBartol/status/1603909544216002560,reply,1,0,0,0,0.0,1.0,0.0,0.0
1,1603907161960095748,1603901074208956421,mickmickfuzz,2022-12-17 01:17:21,@AlecMacGillis @MattWelch @LiYuan6 oh i thought this was about the US when i read the headline,https://twitter.com/mickmickfuzz/status/1603907161960095748,reply,1,0,0,0,0.0,1.0,0.0,0.0
2,1603906400677232641,1603901074208956421,JudgeElihuSmail,2022-12-17 01:14:19,"@AlecMacGillis @ajlamesa @LiYuan6 I don’t subscribe, but guess this about the @DNC",https://twitter.com/JudgeElihuSmail/status/1603906400677232641,reply,3,0,0,0,0.0,1.0,0.0,0.0
3,1603904260856598532,1603901074208956421,AlecMacGillis,2022-12-17 01:05:49,Such powerful voices:  https://t.co/zylqLU9748,https://twitter.com/AlecMacGillis/status/1603904260856598532,reply,22,1,5,0,0.0,0.517,0.483,0.4215
4,1603901894941937666,1603901074208956421,2nd_tenor,2022-12-17 00:56:25,"@AlecMacGillis @MattWelch @LiYuan6 Weird, I thought for a second this was about Canada.",https://twitter.com/2nd_tenor/status/1603901894941937666,reply,1,0,0,0,0.145,0.855,0.0,-0.1779
5,1603965273438035969,,hussainjahanzeb,2022-12-17 04:08:16,"RT @AlecMacGillis: ""Gripped w/ grief, anxiety and depression, people want a national reckoning of what went wrong. Many are now on an almos…",https://twitter.com/twitter/statuses/1603965273438035969,retweet,0,0,9,0,0.39,0.567,0.043,-0.886
6,1603958342258659328,,LCIDWYS,2022-12-17 03:40:43,"RT @AlecMacGillis: ""Gripped w/ grief, anxiety and depression, people want a national reckoning of what went wrong. Many are now on an almos…",https://twitter.com/twitter/statuses/1603958342258659328,retweet,0,0,9,0,0.39,0.567,0.043,-0.886
7,1603941309747699712,,jerrywangzh,2022-12-17 02:33:02,"RT @AlecMacGillis: ""Gripped w/ grief, anxiety and depression, people want a national reckoning of what went wrong. Many are now on an almos…",https://twitter.com/twitter/statuses/1603941309747699712,retweet,0,0,9,0,0.39,0.567,0.043,-0.886
8,1603940522783305730,,LiYuan6,2022-12-17 02:29:55,"RT @AlecMacGillis: ""Gripped w/ grief, anxiety and depression, people want a national reckoning of what went wrong. Many are now on an almos…",https://twitter.com/twitter/statuses/1603940522783305730,retweet,0,0,9,0,0.39,0.567,0.043,-0.886
9,1603907575153831937,,CarSlmM,2022-12-17 00:18:59,"RT @AlecMacGillis: ""Gripped w/ grief, anxiety and depression, people want a national reckoning of what went wrong. Many are now on an almos…",https://twitter.com/twitter/statuses/1603907575153831937,retweet,0,0,9,0,0.39,0.567,0.043,-0.886
10,1603906972167811072,,theblackhanders,2022-12-17 00:16:35,"RT @AlecMacGillis: ""Gripped w/ grief, anxiety and depression, people want a national reckoning of what went wrong. Many are now on an almos…",https://twitter.com/twitter/statuses/1603906972167811072,retweet,0,0,9,0,0.39,0.567,0.043,-0.886
11,1603904525248634880,,ajlamesa,2022-12-17 00:06:52,"RT @AlecMacGillis: ""Gripped w/ grief, anxiety and depression, people want a national reckoning of what went wrong. Many are now on an almos…",https://twitter.com/twitter/statuses/1603904525248634880,retweet,0,0,9,0,0.39,0.567,0.043,-0.886
12,1603901552024064000,,MattWelch,2022-12-16 23:55:03,"RT @AlecMacGillis: ""Gripped w/ grief, anxiety and depression, people want a national reckoning of what went wrong. Many are now on an almos…",https://twitter.com/twitter/statuses/1603901552024064000,retweet,0,0,9,0,0.39,0.567,0.043,-0.886
